Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
"pgrIX-evt20200525195356",5/25/2020 12:00:00 AM,19:53:56,-0.97,127.47,10,3.2,"37 km Selatan Labuha-MALUT, 46 km Baratlaut Obi-MALUT",""
"pgrIX-evt20200526030717",5/26/2020 12:00:00 AM,03:07:17,-2.72,129.47,10,3.1,"10 km Utara Wahai-MALTENG, 45 km Timurlaut Sawai-MALTENG",""
"pgrIX-evt20200526055907",5/26/2020 12:00:00 AM,05:59:07,-2.75,129.83,10,3.7,"25 km Utara Kobisonta-MALTENG, 39 km Timur Wahai-MALTENG",""
"pgrIX-evt20200526073211",5/26/2020 12:00:00 AM,07:32:11,-4.28,127.45,249,4.4,"58 km Tenggara Ambalau-BURSEL, 92 km Tenggara Namrole-BURSEL",""
"pgrIX-evt20200526112742",5/26/2020 12:00:00 AM,11:27:42,-3.11,128.73,10,2.1,"20 km Utara Elpaputih-MALTENG, 33 km Baratlaut Masohi-MALTENG",""
"pgrIX-evt20200526192748",5/26/2020 12:00:00 AM,19:27:48,-6.85,130.09,143,4.1,"107 km Timurlaut Tepa-MBD, 183 km Barat Larat-KEP.TANIMBAR",""
"pgrIX-evt20200527013244",5/27/2020 12:00:00 AM,01:32:44,-2.97,127.85,14,3,"39 km Barat Piru-SBB, 70 km Baratlaut Kairatu-SBB",""
"pgrIX-evt20200527070246",5/27/2020 12:00:00 AM,07:02:46,-5.92,130.31,10,4.4,"161 km Selatan Banda-MALTENG, 207 km Baratlaut Larat-KEP.TANIMBAR",""
"pgrIX-evt20200527150306",5/27/2020 12:00:00 AM,15:03:06,-3.7,129.33,16,3.1,"40 km Baratdaya Tehoru-MALTENG, 61 km Tenggara Masohi-MALTENG",""
"pgrIX-evt20200527154919",5/27/2020 12:00:00 AM,00:49:19,-3.78,128.67,135,3.2,"17 km Baratdaya Nusalaut-MALTENG, 23 km Selatan Saparua-MALTENG",""
"pgrIX-evt20200527193554",5/27/2020 12:00:00 AM,19:35:54,-6.22,130.69,125,5,"154 km Baratlaut Larat-KEP.TANIMBAR, 203 km Timurlaut Tepa-MBD",""
"pgrIX-evt20200528044620",5/28/2020 12:00:00 AM,04:46:20,-3.54,128.37,10,1.4,"22 km Selatan Kairatu-SBB, 27 km Timurlaut Ambon",""
"pgrIX-evt20200528150658",5/28/2020 12:00:00 AM,15:06:58,-3.44,127.24,51,2.4,"25 km Tenggara Namlea-BURU, 44 km Utara Ambalau-BURSEL",""
"pgrIX-evt20200528234412",5/28/2020 12:00:00 AM,23:44:12,-3.36,128.41,10,2.1,"7 km Timur Kairatu-SBB, 36 km Baratlaut Saparua-MALTENG","dirasakan di Kairatu II MMI"
